Stock no,Description,As is,18K Code,14K Code,10K Code,9K Code,Silver Code,Gold weight,1st Stn,1st Stn qty,1st Stn weight,2nd Stn,2nd Stn qty,2nd Stn weight,3rd Stn,3rd Stn qty,3rd Stn weight,4th Stn,4th Stn qty,4th Stn weight
177412,"RU BRACELET, WG, #17356",180104,231499,207544,183743,178646,147198,16.24,RU,19,8.92,DA,266,2.8,,0,0,,0,0
178638,"SA BRACELET, WG, #14113",151292,186990,170326,153812,150279,128436,11.28,SA,14,8.32,DA,14,0.43,DA,252,1.77,,0,0
174611,"BS BRACELET, WG, #15034",199651,231931,216872,201940,198735,178982,10.2,BS,19,11.89,DA,42,1.6,,0,0,,0,0
173252,"EM BRACELET, WG, #15035",170675,202187,187465,172884,169746,150434,9.97,EM,14,5.81,DA,60,2.53,,0,0,,0,0
182301,"RU RING, WG, #18505",24994,30226,26916,23610,22910,18546,2.25,RU,1,0.75,DA,16,0.14,,0,0,,0,0
178268,"SA RING, WG, #17780",21235,28118,23736,19421,18485,12753,2.96,SA,1,0.56,DA,14,0.3,DA,18,0.07,,0,0
176978,"SA RING, WG, #17759",46246,53430,48863,44339,43380,37390,3.09,SA,1,1.27,DA,14,0.42,DA,24,0.28,,0,0
173382,"RU RING, WG, #15027",45864,55421,49356,43342,42038,34086,4.11,RU,1,0.67,TD,14,0.21,DA,10,0.53,,0,0
180600,"RU RING, WG, #15590",25469,30934,27473,24024,23279,18735,2.35,RU,1,0.89,DA,6,0.21,DA,6,0.09,,0,0
181504,"AQ RING, WG, #17820",29505,40455,35356,30288,29208,22495,3.46,AQ,1,2.38,DA,10,0.27,DA,10,0.12,,0,0
181899,"AQ RING, WG, #17856",34150,44307,39566,34874,33867,27643,3.21,AQ,1,2.31,DA,14,0.54,,0,0,,0,0
181928,"RU RING, WG, #18476",31802,39708,34675,29711,28643,22059,3.4,RU,5,1.66,DA,6,0.06,DA,60,0.29,,0,0
181585,"RU RING, WG, #15916",35482,48409,40207,32067,30314,19547,5.56,RU,12,1.27,DA,64,0.33,,0,0,,0,0
180841,"EM EARRINGS, WG, #18167",18959,24677,21053,17450,16658,11908,2.46,EM,8,1.09,DA,2,0.14,DA,56,0.14,,0,0
184506,"BS EARRINGS, WG, #18669",20975,27206,23257,19315,18484,13295,2.68,BS,2,1.63,DA,32,0.24,,0,0,,0,0
183850,"RU PENDANT, WG, #10068",7304,9140,7979,6811,6562,5038,0.79,RU,6,0.43,DA,1,0.06,,0,0,,0,0
183830,"SA PENDANT, WG, #15357",9794,12467,10784,9085,8717,6497,1.15,SA,5,0.51,DA,1,0.09,,0,0,,0,0
184767,"RU PENDANT, WG, #15493",11936,15496,13229,10985,10523,7554,1.53,RU,4,1.1,DA,1,0.04,DA,36,0.12,,0,0
184959,"RU PENDANT, WG, #15472",47195,50031,48230,46455,46074,43698,1.22,RU,1,1.15,DA,12,0.35,,0,0,,0,0
181654,"EM EARRINGS, WG, #18490",13700,18178,16170,14161,13726,11065,1.37,EM,2,0.48,DA,30,0.19,,0,0,,0,0
183196,"RU EARRINGS, WG, #14701",18367,23942,21457,18967,18448,15169,1.69,RU,2,1.16,DA,24,0.21,DA,8,0.04,,0,0
185155,"RU PENDANT, WG, #13821",14116,18999,16829,14636,14183,11317,1.48,RU,5,1.33,DA,1,0.04,DA,18,0.06,,0,0
185337,"RU RING, WG, #80234",15221,22943,19493,16057,15341,10796,2.34,RU,5,1.09,DA,1,0.02,DA,14,0.08,,0,0
186332,"SA RING, WG, #18322",16208,22049,19435,16857,16296,12861,1.77,SA,1,0.62,SA,2,0.49,DA,38,0.18,,0,0
179133,"RU RING, WG, #16283",13427,18837,16407,14009,13500,10324,1.64,RU,1,0.52,DA,12,0.15,DA,28,0.07,,0,0
179021,"DA RING, WG, #18085",8967,15691,13054,10422,9859,6400,1.63,DA,18,0.27,,0,0,,0,0,,0,0
181619,"DA RING, WG, #15839",12760,17981,15540,13129,12618,9416,1.65,DA,7,0.25,DA,25,0.16,,0,0,,0,0
180711,"EM RING, YG, #18378",4334,7078,5776,4478,4214,2510,0.88,EM,7,0.1,,0,0,,0,0,,0,0
183594,"RU RING, WG, #16231",30866,42581,37340,32143,31020,24153,3.55,RU,2,1.36,DA,60,0.66,,0,0,,0,0
178536,"BS RING, WG, #16924",27430,38823,33528,28238,27107,20135,3.6,BS,6,2.1,DA,36,0.25,,0,0,,0,0
184924,"AM PENDANT, WG, #15732",3704,6972,5507,4055,3743,1832,0.99,AM,1,2.14,DA,7,0.02,,0,0,,0,0
184415,"AM PENDANT, WG, #13973",4969,9751,7614,5488,5039,2225,1.45,AM,1,2.66,DA,10,0.04,,0,0,,0,0
184189,"BT PENDANT, WG, #14547",2776,5119,4013,2937,2724,1278,0.74,BT,1,1.91,DA,2,0.02,,0,0,,0,0
180321,"PS MIXED NECKLACE, PG, #11097",15149,24390,20093,15816,14887,9232,2.92,PS,7,0.3,DA,38,0.35,,0,0,,0,0
183453,"RU MIXED NECKLACE, WG, #18600",9899,16132,13214,10352,9728,5906,1.97,RU,1,0.3,DA,26,0.18,,0,0,,0,0
185031,"RU MIXED NECKLACE, PG, #13028",21882,30396,26598,22798,22013,17003,2.58,RU,1,0.69,DA,2,0.06,DA,20,0.18,,0,0
181266,"SA MIXED NECKLACE, WG, #16116",7405,14841,12411,10042,9504,6328,1.23,SA,1,0.98,DA,11,0.1,,0,0,,0,0
170295,"OP RING, YG, #1399",14687,24055,19672,15357,14421,8689,2.96,OP,1,1.34,DA,26,0.21,,0,0,,0,0
170309,"OP RING, YG, #1399",15721,27365,21940,16533,15388,8262,3.68,OP,1,2.13,BD,2,0.24,,0,0,,0,0
173388,"RU RING, WG, #15949",36813,51462,42154,32938,30945,18758,6.3,RU,4,0.51,DA,3,0.33,DA,28,0.25,,0,0
176239,"RU RING, WG, #17619",10521,15057,12161,9323,8704,4934,1.95,RU,3,0.48,DA,8,0.09,,0,0,,0,0
179024,"SA RING, WG, #18088",9656,13888,11218,8548,7951,4441,1.82,SA,5,0.83,DA,8,0.04,,0,0,,0,0
